id;name;enabled;url
1;mesh;false;http://adelbert.org
2;Indiana;false;http://joan.biz
3;Colorado Berkshire impactful;false;http://marcia.com
4;orange microchip lavender;true;http://rebekah.org
5;Investment Account Interactions orchid;true;https://loyal.net
6;Handmade Fresh Sausages;true;http://geovany.com
7;Borders Yemeni Rial Maryland;false;https://lily.info
8;Manager Jewelery;false;https://adalberto.org
9;optical deposit motivating;false;http://geovanny.name
10;Branding Trace port;true;http://sylvester.org
